Run 1
0, 100000000, 0, 1, 0, 20x20, Linear5, frs
11658.0, 1.0300170412103746, 75, 9, 260.0, 2x200, Compact9, nrs
11661.0, 1.0297969223771954, 76, 9, 260.0, 2x200, Compact9, nrs
11680.0, 1.0298229952677371, 77, 9, 260.0, 2x200, Compact9, nrs
11686.0, 1.0301924030785943, 78, 9, 260.0, 2x200, Compact9, nrs
11692.0, 1.0302748533162376, 79, 9, 260.0, 2x200, Compact9, nrs
11698.0, 1.0302658009988603, 80, 9, 260.0, 2x200, Compact9, nrs
11878.0, 1.0302985288157591, 81, 9, 260.0, 2x200, Compact9, nrs
11952.0, 1.0302321259141065, 82, 9, 260.0, 2x200, Compact9, nrs
11959.0, 1.0298678834332138, 83, 9, 260.0, 2x200, Compact9, nrs
11966.0, 1.0296985584397502, 84, 9, 260.0, 2x200, Compact9, nrs
11982.0, 1.0294794002310603, 85, 9, 260.0, 2x200, Compact9, nrs
12064.0, 1.0295352272700582, 86, 9, 260.0, 2x200, Compact9, nrs
12227.0, 1.0294702885664868, 87, 9, 260.0, 2x200, Compact9, nrs
12271.0, 1.0292782032417571, 88, 9, 260.0, 2x200, Compact9, nrs
12271.0, 1.0292782032417571, 88, 9, 260.0, 2x200, Compact9, nrs
12311.0, 1.029433006206702, 89, 10, 260.0, 2x200, Compact9, nrs
12788.0, 1.0295273758285919, 90, 10, 260.0, 2x200, Compact9, nrs
12816.0, 1.0295678198421487, 91, 10, 260.0, 2x200, Compact9, nrs
12819.0, 1.0299682864586521, 92, 10, 260.0, 2x200, Compact9, nrs
12827.0, 1.0296460468193118, 93, 10, 260.0, 2x200, Compact9, nrs
12832.0, 1.0296612205329359, 94, 10, 260.0, 2x200, Compact9, nrs
12840.0, 1.0297466076107498, 95, 10, 260.0, 2x200, Compact9, nrs
12852.0, 1.0295831059186853, 96, 10, 260.0, 2x200, Compact9, nrs
12857.0, 1.0295906691780952, 97, 10, 260.0, 2x200, Compact9, nrs
12860.0, 1.0300857287668466, 98, 10, 260.0, 2x200, Compact9, nrs
12905.0, 1.0299691027062592, 99, 10, 260.0, 2x200, Compact9, nrs
12908.0, 1.0300715771857705, 100, 10, 260.0, 2x200, Compact9, nrs
12908.0, 1.0300715771857705, 100, 10, 260.0, 2x200, Compact9, nrs
