W;L;opt;n
62;55;3279;10
wi;li;bi;
11;15;2;52
27;9;3;72
19;21;1;80
28;31;1;118
13;17;2;60
15;29;3;88
29;13;2;84
31;12;2;86
31;19;2;100
23;16;1;78
;;1,9;81,8
;;0,388349888;0,229779715
