W;L;opt;n
157;121;7402;15
wi;li;bi;
11;15;3;52
17;11;2;56
29;7;4;72
17;11;4;56
18;9;3;54
12;25;1;74
13;17;2;60
17;29;1;92
26;12;3;76
29;9;2;76
21;11;2;64
11;16;2;54
20;8;2;56
9;18;2;54
7;24;2;62
;;2,333333333;63,86666667
;;0,38560089;0,182008508
