W;L;opt;n
127;98;12215;10
wi;li;bi;
21;13;5;68
36;17;4;106
54;20;6;148
24;27;5;102
18;65;6;166
15;21;2;72
25;17;8;84
45;21;3;132
22;18;7;80
16;23;5;78
;;5,1;103,6
;;0,351364184;0,330360972
