W;L;opt;n
132;100;13099;30
wi;li;bi;
18;39;4;114
13;49;2;124
27;51;1;156
65;31;3;192
45;27;2;144
69;21;4;180
21;63;2;168
54;41;2;190
41;31;1;144
37;22;1;118
29;54;1;166
47;31;2;156
18;31;3;98
21;17;1;76
19;53;1;144
13;41;4;108
37;12;5;98
19;29;2;96
67;17;1;168
49;31;3;160
31;43;1;148
30;41;2;142
29;39;1;136
28;38;2;132
27;37;3;128
26;36;2;124
25;35;1;120
24;34;1;116
33;23;2;112
22;32;3;108
;;2,1;135,5333333
;;0,535691479;0,215510087
