Run 1
0, 100000000, 0, 1, 0, 20x20, Linear5, BinaryTournament, BinaryTournament, frs
11348.300000000008, 1.0190904654763262, 48, 8, 520.0, 5x80, Compact13, BinaryTournament, BinaryTournament, nrs
11444.300000000008, 1.0189960399341647, 48, 8, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
11445.300000000008, 1.018608365649794, 49, 8, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
11456.300000000008, 1.018624014320469, 50, 8, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
11456.300000000008, 1.018624014320469, 50, 8, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
21930.39999999999, 1.0188524519063027, 51, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
21936.39999999999, 1.0186826407487763, 52, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
23373.699999999986, 1.0186253189229932, 53, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
23373.799999999985, 1.0182804056096044, 54, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
23377.799999999985, 1.0179480345985208, 55, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
23381.799999999985, 1.017875187786738, 56, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
23391.799999999985, 1.0180432875814969, 57, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
23401.799999999985, 1.0179792351596735, 58, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
23417.799999999985, 1.0182672391509056, 59, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
23438.799999999985, 1.0186145071719115, 60, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
23641.799999999985, 1.0187906644992293, 61, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
23642.799999999985, 1.0184875892653706, 62, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
23662.799999999985, 1.0185254305105178, 63, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
23676.799999999985, 1.0187259679553575, 64, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
23680.799999999985, 1.0186700967502387, 65, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
